,0
0,id
1,listing_url
2,scrape_id
3,last_searched
4,last_scraped
5,name
6,description
7,neighborhood_overview
8,picture_url
9,host_id
10,host_url
11,host_name
12,host_since
13,host_location
14,host_about
15,host_response_time
16,host_response_rate
17,host_acceptance_rate
18,host_is_superhost
19,host_thumbnail_url
20,host_picture_url
21,host_neighbourhood
22,host_listings_count
23,host_total_listings_count
24,host_verifications
25,host_has_profile_pic
26,host_identity_verified
27,neighbourhood
28,latitude
29,longitude
30,property_type
31,room_type
32,accommodates
33,bathrooms
34,bathrooms_text
35,bathroom_type
36,bedrooms
37,beds
38,amenities
39,price
40,minimum_nights
41,maximum_nights
42,minimum_minimum_nights
43,maximum_minimum_nights
44,minimum_maximum_nights
45,maximum_maximum_nights
46,minimum_nights_avg_ntm
47,maximum_nights_avg_ntm
48,calendar_updated
49,has_availability
50,availability_30
51,availability_60
52,availability_90
53,availability_365
54,calendar_last_scraped
55,number_of_reviews
56,number_of_reviews_ltm
57,number_of_reviews_l30d
58,first_review
59,last_review
60,review_scores_rating
61,review_scores_accuracy
62,review_scores_cleanliness
63,review_scores_checkin
64,review_scores_communication
65,review_scores_location
66,review_scores_value
67,requires_license
68,license
69,instant_bookable
70,calculated_host_listings_count
71,calculated_host_listings_count_entire_homes
72,calculated_host_listings_count_private_rooms
73,calculated_host_listings_count_shared_rooms
74,region_id
75,region_name
76,region_parent_id
77,region_parent_name
78,region_parent_parent_id
79,region_parent_parent_name
80,reviews_per_month
